NVDA,LLY,JPM,CAT,PortfolioValue
0.49999952,4.9999903e-07,4.9999903e-07,0.49999952,1032647.9412615299
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1037576.6672437986
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1052248.8252101904
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1053395.026778712
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1047663.7465263482
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1048580.965923731
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1043079.157153138
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1057979.5954139004
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1067607.966853847
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1054656.026204596
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1045944.5128815005
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1060731.1501142564
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1052478.011631486
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1038608.5159476855
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1030584.8498028619
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1040213.3412002763
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1066920.8503842829
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1084343.5247998126
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1088584.9399053685
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1107612.304571494
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1113801.9399233847
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1121596.7649043228
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1145094.2471992674
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1135924.2893047438
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1129046.9387076385
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1111738.3065162604
