"('Open', 'AAPL')","('Open', 'ABT')","('Open', 'MU')","('Open', 'SO')",PortfolioValue
4.9999903e-07,0.49999952,0.49999952,4.9999903e-07,972429.1948889558
0.33333257,0.33333358,0.33333358,3.3333325e-07,958039.0676727993
0.33333322,0.33333322,0.33333322,3.333329e-07,967292.8654364138
0.33333322,0.33333322,0.33333322,3.333329e-07,977715.3904054351
0.33333322,0.33333322,0.33333322,3.333329e-07,957760.0049288895
0.33333322,0.33333322,0.33333322,3.333329e-07,967343.6762549196
0.33333322,0.33333322,0.33333322,3.333329e-07,965240.0315309127
0.33333322,0.33333322,0.33333322,3.333329e-07,940340.3995932954
0.33333322,0.33333322,0.33333322,3.333329e-07,917066.725540493
0.33333322,0.33333322,0.33333322,3.333329e-07,923702.2619567337
0.33333322,0.33333322,0.33333322,3.333329e-07,926476.6875514654
0.33333322,0.33333322,0.33333322,3.333329e-07,931754.2392491057
0.33333322,0.33333322,0.33333322,3.333329e-07,916866.8207910896
0.33333322,0.33333322,0.33333322,3.333329e-07,879712.3505870315
0.33333322,0.33333322,0.33333322,3.333329e-07,898815.9086580754
0.33333322,0.33333322,0.33333322,3.333329e-07,900360.7476710316
0.33333322,0.33333322,0.33333322,3.333329e-07,903218.9903735316
0.33333322,0.33333322,0.33333322,3.333329e-07,874782.2869125397
0.33333322,0.33333322,0.33333322,3.333329e-07,885486.016739423
0.33333322,0.33333322,0.33333322,3.333329e-07,898898.3774562639
0.33333322,0.33333322,0.33333322,3.333329e-07,877669.0214316313
0.33333322,0.33333322,0.33333322,3.333329e-07,874686.5039205404
0.33333322,0.33333322,0.33333322,3.333329e-07,874199.850315896
0.33333322,0.33333322,0.33333322,3.333329e-07,893143.7100807953
0.33333322,0.33333322,0.33333322,3.333329e-07,904648.3404517603
0.33333322,0.33333322,0.33333322,3.333329e-07,895514.502078696
0.33333322,0.33333322,0.33333322,3.333329e-07,900860.6123282918
0.33333322,0.33333322,0.33333322,3.333329e-07,909889.9301192604
0.33333322,0.33333322,0.33333322,3.333329e-07,896909.7257125489
0.33333322,0.33333322,0.33333322,3.333329e-07,889641.7262997159
